user_id,artist_id,plays
0,8665,13
0,18963,11
0,7257,4
0,10706,4
0,7370,65
0,6184,17
0,22327,2
0,7261,3
0,19312,2
0,2220,4
0,14609,8
0,10238,35
0,2180,21
0,3792,9
0,16189,2
0,6444,1
0,9137,17
0,18861,2
0,16368,3
0,9914,1
0,6631,4
0,15593,2
0,2312,2
0,11925,4
0,11779,15
0,13714,2
0,11433,1
0,3460,1
0,10002,1
0,6950,2
0,17901,1
0,17616,1
0,16452,34
0,15556,4
0,817,1
0,15739,2
0,15123,1
0,5871,2
0,15815,4
0,4076,1
0,1076,8
0,12073,9
0,8498,1
0,11199,51
0,21945,1
0,7077,2
0,7149,2
0,19685,32
0,21501,2
0,16605,3
0,6458,1
0,16241,3
0,13805,22
0,6382,6
0,5388,3
0,3055,1
0,15300,1
0,17832,1
0,10700,1
0,16201,11
0,13363,1
0,7240,2
0,7570,9
0,510,1
0,17900,1
0,6374,1
0,6355,1
0,3576,1
0,5925,2
0,17334,1
0,19822,1
0,18723,1
0,795,1
0,6276,19
0,8841,1
0,1006,1
0,17974,13
0,16228,2
0,7623,2
0,16506,2
0,4472,1
0,11604,4
0,20943,1
0,2912,2
0,4491,1
0,2889,3
0,6617,1
0,590,3
0,4381,4
0,16275,1
0,2742,20
0,13888,2
0,6076,5
0,9720,1
0,9391,14
0,7173,1
0,5712,1
0,16950,1
0,11661,8
0,7171,2
0,15684,3
0,6373,1
0,19263,3
0,12029,2
0,11148,13
0,731,2
0,7481,1
0,16704,3
0,14709,1
0,956,5
0,16535,12
0,7700,2
0,13318,2
0,12467,1
0,16588,1
0,8934,2
0,20059,4
0,6279,2
0,6097,6
0,13583,4
0,3533,3
0,15986,37
0,11390,1
0,14029,1
0,13168,3
0,6698,2
0,2869,1
0,8177,1
0,2112,111
0,16570,2
0,18119,2
0,13913,2
0,21988,1
0,6299,1
0,20294,2
0,967,1
0,20117,1
0,3649,1
0,16924,8
0,22428,2
0,4755,1
0,20759,4
0,16051,26
0,13850,1
0,9221,2
0,11338,7
0,16921,2
0,5942,75
0,3432,1
0,16925,38
0,21053,1
0,6160,4
0,10082,1
0,11352,1
0,6012,4
0,913,45
0,3709,5
0,2156,2
0,11678,2
0,6497,4
0,4746,1
0,7019,1
0,3604,7
0,752,4
0,10242,4
0,10787,54
0,13710,7
0,1671,6
0,4932,8
0,5473,61
0,12778,12
0,4910,1
